,ID,Ontologies,Visualization,Task_Success,Time_On_Task,base_avg_size_left,base_avg_size_right,base_avg_size_both,total_fixations,sum_fixation_duration,mean_fixation_duration,std_fixation_duration,total_saccades,sum_saccade_length,mean_saccade_length,std_saccade_length,sum_saccade_duration,mean_saccade_duration,std_saccade_duration,total_left_clicks,mean_time_between_clicks,std_time_between_clicks,avg_size_left,avg_size_right,avg_size_both
0,p27,2,2,0.086956522,50,3.963407920792075,3.8889801980198,3.9261940594059452,1614,567.699,351.7342007434944,301.41226683968557,1613,257950.25147734422,159.91956074230916,227.45005463035,202.986,125.84376937383757,718.1788099911292,239,3.2017991631799165,2.800552394760294,4.397918110236254,4.394626862507557,4.396272486371952
1,p7,2,2,0.086956522,20,3.6888902953586507,3.6131772151898773,3.651033755274267,2711,673.24,248.3364072298045,188.01250762802587,2710,329796.11874189554,121.69598477560736,187.14802135037544,333.584,123.09372693726937,259.0302129755642,363,2.7347658402203856,3.7782541552405293,3.694682870419943,3.5150250123134166,3.60485394136666
2,p14,2,1,0.217391304,28,3.4293016759776545,3.4928463687150852,3.461074022346368,2234,533.086,238.6239928379588,224.3051071220814,2233,291355.8600614613,130.47732201588065,157.0646007562776,391.157,175.17107030900135,237.5589010635604,253,3.623110671936759,3.977049778426726,3.7494336791360245,3.564784389252541,3.657109034194292
3,p27,1,1,0.260869565,13,3.963407920792075,3.8889801980198,3.9261940594059452,3568,899.321,252.05184977578475,205.3213181341528,3567,449181.23810306774,125.92689601992417,187.93968819280138,2011.514,563.9231847490888,13649.262083137537,1042,2.913328214971209,3.4456462963246874,4.126827980412294,4.097416290539004,4.112122135475693
4,p32,1,2,0.304347826,21,4.015238568588469,3.822403578528827,3.9188210735586435,1735,597.5,344.38040345821327,252.8754986935552,1734,209846.5179326014,121.01875313298828,171.67139238990248,97.481,56.21741637831603,98.664360877386,252,2.703527777777778,3.6481325194821816,3.7422109358757134,3.63758005880784,3.689895497341718
5,p12,1,2,0.304347826,17,3.7368842794759827,3.7936179039301305,3.7652510917030617,1132,205.727,181.7376325088339,107.55075324788109,1131,128494.93601397326,113.61179134745647,183.14526885714875,459.508,406.28470380194517,693.9355318845084,239,2.7748912133891213,2.9962006355749864,3.8100494439967987,3.8662530539887277,3.838151248992745
6,p25,2,2,0.347826087,39,4.0335835010060395,4.339193158953725,4.186388329979882,4788,1565.245,326.90998329156224,250.48782495306708,4787,875934.649058074,182.98196136579833,236.6121303465651,459.428,95.974096511385,147.3124245821303,574,3.3724216027874565,8.276182516539363,4.0298220164496845,4.414276638161101,4.222049327305469
7,p11,2,2,0.347826087,33,4.106170626349891,3.7312548596112345,3.9187127429805657,1152,165.166,143.37326388888889,53.99977070234657,1151,186921.16248532615,162.39892483520956,230.67681171686286,771.717,670.4752389226759,1858.7383109879083,303,3.0902508250825083,4.311739997312931,3.9082917016139316,3.5319785995678954,3.720135150590922
8,p33,2,2,0.347826087,27,3.147223360655738,2.9810430327868835,3.064133196721313,2849,570.506,200.24780624780624,136.780670831804,2848,350796.15589782305,123.17280754839322,192.87993138599256,512.2,179.84550561797752,252.7218295974168,288,3.7820868055555557,4.77447174042365,3.189525484230803,3.047664618192892,3.118595051211841
9,p2,1,2,0.347826087,19,3.0737190332326287,2.7744501510574,2.924084592145014,2581,414.829,160.72413793103448,85.31549198679173,2580,324201.00072172517,125.65930260531981,190.8639490614263,1149.467,445.5298449612403,570.704202557985,415,3.6091060240963855,4.2320066217697185,3.0576025098601547,2.7811262961634746,2.919364403011854
10,p32,2,1,0.347826087,12,4.015238568588469,3.822403578528827,3.9188210735586435,3130,1124.668,359.3188498402556,287.4994939553162,3129,425933.7647686193,136.12456528239676,169.6262990814871,141.422,45.197187599872166,74.20956306568509,423,2.940848699763593,3.6321395168612387,3.735632006420543,3.6750314927768866,3.7053317495987277
11,p23,2,2,0.391304348,58,3.8330865979381445,3.687593814432993,3.760340206185568,1824,604.093,331.19133771929825,275.4409084241769,1823,248624.04036692056,136.38181040423532,195.84963690808144,168.924,92.66264399341745,311.9018495223867,447,1.6920469798657718,2.6203411409771364,4.015884417930966,3.8167216852611237,3.9163030515960267
12,p3,2,2,0.391304348,50,2.9699547325102915,3.052866255144036,3.011410493827165,1564,515.632,329.68797953964196,275.84496110704663,1563,211030.46724596963,135.01629382339706,204.98089200574466,112.439,71.93793985924505,110.69164752759278,172,3.6387383720930235,4.090640653313654,3.156438566666659,3.220063333333326,3.1882509499999627
