,top,bottom,difference
Task_Success,0.6217391302500002,0.32826086965,0.29347826060000015
Time_On_Task,22.55,29.5,-6.949999999999999
base_avg_size_left,3.552156563339397,3.636023231211476,-0.08386666787207897
base_avg_size_right,3.5155800642792565,3.5326531322851267,-0.017073068005870162
base_avg_size_both,3.533868313809326,3.5843381817483015,-0.050469867938975455
total_fixations,4085.95,2487.35,1598.6
sum_fixation_duration,895.6681999999998,648.4862999999999,247.18189999999993
mean_fixation_duration,207.24799682662075,246.9129266717624,-39.66492984514164
std_fixation_duration,142.21139277136598,182.12665693766093,-39.915264166294946
total_saccades,4084.95,2486.35,1598.6
sum_saccade_length,540726.8408193209,349876.2945769035,190850.54624241736
mean_saccade_length,134.49139414164452,139.21681815263702,-4.725424010992498
std_saccade_length,187.93437495883717,194.95162040176464,-7.017245442927475
sum_saccade_duration,976.046,598.1628,377.8832000000001
mean_saccade_duration,309.088240258886,325.77854612734745,-16.69030586846145
std_saccade_duration,872.1171722263041,1786.2039312518089,-914.0867590255048
total_left_clicks,630.65,401.1,229.54999999999995
mean_time_between_clicks,3.093818696519116,3.1934025263963273,-0.09958382987721137
std_time_between_clicks,4.02020003104363,4.27391697118601,-0.2537169401423798
avg_size_left,3.7081795378628373,3.693492134097582,0.014687403765255347
avg_size_right,3.695774405183615,3.5951471116105145,0.10062729357310074
avg_size_both,3.7019769715232265,3.6443196228540478,0.05765734866917871
